082 71,PV
935 21,NI
972 32,TC
082 12,PV
082 15,PV
086 12,PV
941 02,NI
985 31,BC
082 36,PV
082 36,PV
946 14,NI
038 61,ZI
980 23,BC
049 42,KI
956 01,NI
032 23,ZI
032 44,ZI
034 72,ZI
031 05,ZI
034 73,ZI
033 01,ZI
032 23,ZI
034 01,ZI
034 83,ZI
059 40,PV
032 21,ZI
032 14,ZI
032 23,ZI
034 74,ZI
034 84,ZI
033 01,ZI
032 03,ZI
034 83,ZI
,ZI
032 04,ZI
033 01,ZI
031 01,ZI
034 81,ZI
962 71,BC
962 44,BC
065 31,PV
956 32,TC
956 32,TC
086 05,PV
086 05,PV
023 34,ZI
935 38,NI
029 51,ZI
976 53,BC
029 54,ZI
090 33,PV
972 27,TC
065 03,PV
962 63,BC
935 75,NI
908 63,TA
976 98,BC
086 41,PV
023 36,ZI
023 36,ZI
023 36,ZI
919 04,TA
951 92,NI
966 21,BC
966 23,BC
966 23,BC
985 54,BC
900 55,BL
072 05,KI
943 53,NI
032 14,ZI
049 18,BC
972 47,TC
059 71,PV
985 07,BC
976 55,BC
916 12,TC
067 11,PV
034 91,ZI
914 41,TC
985 11,BC
991 02,BC
080 06,PV
065 41,PV
082 42,PV
930 03,TA
976 61,BC
,BC
082 07,PV
059 31,PV
049 42,KI
053 03,PV
082 71,PV
087 01,PV
072 03,KI
034 82,ZI
072 34,KI
967 01,BC
034 82,ZI
951 88,NI
956 11,NI
941 11,NI
951 44,NI
040 15,KI
034 71,ZI
076 14,KI
916 33,TC
067 24,PV
951 23,NI
086 21,PV
962 31,BC
966 81,BC
086 05,PV
962 21,BC
980 26,BC
013 31,ZI
020 53,TC
946 14,NI
935 35,NI
